LoginID,AccountType,BCIF,PCIF,PAN,Password,Tested
10124546,Business,845484,845483,CWB.5858311010124546,Cwb@1234,
10124603,Business,845488,845487,CWB.5858311010124603,Cwb@1234,
10124611,Business,845490,845489,CWB.5858311010124611,Cwb@1234,
10124629,Business,845492,845491,CWB.5858311010124629,Cwb@1234,
10124637,Business,845494,845493,CWB.5858311010124637,Cwb@1234,
10124660,Business,845506,845505,CWB.5858311010124660,Cwb@1234,
10124678,Business,845511,845510,CWB.5858311010124678,Cwb@1234,
10124686,Business,845513,845512,CWB.5858311010124686,Cwb@1234,
10124702,Business,845516,845515,CWB.5858311010124702,Cwb@1234,
10124710,Business,845519,845518,CWB.5858311010124710,Cwb@1234,
