LoginID,BCIF,PCIF,PAN,Password,Tested
('10137951','5858311010137951','817376','817375'),
('10137969','5858311010137969','817378','817377'),
('10137977','5858311010137977','817380','817379'),
('10367657','5858311010367657','817382','817381'),
('10367640','5858311010367640','817384','817383'),
('10392325','5858311010392325','817386','817385'),
('10392317','5858311010392317','817386','817390'),
('10367681','5858311010367681','817389','817391'),
('10392309','5858311010392309','817389','817387'),
('10367624','5858311010367624','817394','817393'),
('10367673','5858311010367673','817394','817392'),
('10367608','5858311010367608','817398','817396'),
('10367616','5858311010367616','817398','817395'),
('10367582','5858311010367582','817400','817399'),
('10367590','5858311010367590','817400','817397')
