LoginID,AccountType,BCIF,PCIF,PAN,Password,Tested
10124900,Business,816775,816776,CWB.5858311010124900.000,Password1$,
10124942,Business,816787,816786,CWB.5858311010124942.000,Password1$,
10124959,Business,816791,816790,CWB.5858311010124959.000,Password1$,
10124967,Business,816793,816792,CWB.5858311010124967.000,Password1$,
10124975,Business,816797,816796,CWB.5858311010124975.000,Password1$,
10124983,Business,816809,816807,CWB.5858311010124983.000,Password1$,
10124991,Business,816814,816813,CWB.5858311010124991.000,Password1$,
10125006,Business,816816,816815,CWB.5858311010125006.000,Password1$,
10124868,Business,816767,816768,CWB.5858311010124868.000,Password1$,
10124892,Business,816773,816774,CWB.5858311010124892.000,Password1$,
10124918,Business,816779,816780,CWB.5858311010124918.000,Password1$,
10124884,Business,816771,816772,CWB.5858311010124884.000,Password1$,
10124934,Business,816783,816784,CWB.5858311010124934.000,Password1$,
10125162,Business,816872,816871,CWB.5858311010125162.000,Password1$,
10125014,Business,816828,816829,CWB.5858311010125014.000,Password1$,
10125030,Business,816837,816836,CWB.5858311010125030.000,Password1$,
10125055,Business,816843,816842,CWB.5858311010125055.000,Password1$,
10125071,Business,816849,816848,CWB.5858311010125071.000,Password1$,
10125097,Business,816853,816852,CWB.5858311010125097.000,Password1$,
10125113,Business,816860,816859,CWB.5858311010125113.000,Password1$,
10125139,Business,816864,816863,CWB.5858311010125139.000,Password1$,
10125048,Business,816840,816841,CWB.5858311010125048.000,Password1$,
10125063,Business,816846,816847,CWB.5858311010125063.000,Password1$,
10125089,Business,816850,816851,CWB.5858311010125089.000,Password1$,
10125105,Business,816856,816855,CWB.5858311010125105.000,Password1$,
10125121,Business,816862,816861,CWB.5858311010125121.000,Password1$,
10125147,Business,816866,816865,CWB.5858311010125147.000,Password1$,
10125188,Business,816876,816875,CWB.5858311010125188.000,Password1$,
